Wavelength [nm],Illuminant C,Illuminant D50,Illuminant D55,Illuminant D75
300,0.00,0.019,0.024,0.043
305,0.00,1.035,1.048,2.588
310,0.00,2.051,2.072,5.133
315,0.00,4.914,6.648,17.470
320,0.01,7.778,11.224,29.808
325,0.20,11.263,15.936,42.369
330,0.40,14.748,20.647,54.930
335,1.55,16.348,22.266,56.095
340,2.70,17.948,23.885,57.259
345,4.85,19.479,25.851,60.000
350,7.00,21.010,27.817,62.740
355,9.95,22.476,29.219,62.861
360,12.90,23.942,30.621,62.982
365,17.20,25.451,32.464,66.647
370,21.40,26.961,34.308,70.312
375,27.50,25.724,33.446,68.507
380,33.00,24.488,32.584,66.703
385,39.92,27.179,35.335,68.333
390,47.40,29.871,38.087,69.963
395,55.17,39.589,49.518,85.946
400,63.30,49.308,60.949,101.929
405,71.81,52.910,64.751,106.911
410,80.60,56.513,68.554,111.894
415,89.53,58.273,70.065,112.346
420,98.10,60.034,71.577,112.798
425,105.80,58.926,69.746,107.945
430,112.40,57.818,67.914,103.092
435,117.75,66.321,76.760,112.145
440,121.50,74.825,85.605,121.198
445,123.45,81.036,91.799,127.104
450,124.00,87.247,97.993,133.010
455,123.60,88.930,99.228,132.682
460,123.10,90.612,100.463,132.355
465,123.30,90.990,100.188,129.838
470,123.80,91.368,99.913,127.322
475,124.09,93.238,101.326,127.061
480,123.90,95.109,102.739,126.800
485,122.92,93.536,100.409,122.291
490,120.70,91.963,98.078,117.783
495,116.90,93.843,99.379,117.186
500,112.10,95.724,100.680,116.589
505,106.98,96.169,100.688,115.146
510,102.30,96.613,100.695,113.702
515,98.81,96.871,100.341,111.181
520,96.90,97.129,99.987,108.659
525,96.78,99.614,102.098,109.552
530,98.00,102.099,104.210,110.445
535,99.94,101.427,103.156,108.367
540,102.10,100.755,102.102,106.289
545,103.95,101.536,102.535,105.596
550,105.20,102.317,102.968,104.904
555,105.67,101.159,101.484,102.452
560,105.30,100.000,100.000,100.000
565,104.11,98.868,98.608,97.808
570,102.30,97.735,97.216,95.616
575,100.15,98.327,97.482,94.914
580,97.80,98.918,97.749,94.213
585,95.43,96.208,94.590,90.605
590,93.20,93.499,91.432,86.997
595,91.22,95.593,92.926,87.112
600,89.70,97.688,94.419,87.227
605,88.83,98.478,94.780,86.684
610,88.40,99.269,95.140,86.140
615,88.19,99.155,94.680,84.861
620,88.10,99.042,94.220,83.581
625,88.06,97.382,92.334,81.164
630,88.00,95.722,90.448,78.747
635,87.86,97.290,91.389,78.587
640,87.80,98.857,92.330,78.428
645,87.99,97.262,90.592,76.614
650,88.20,95.667,88.854,74.801
655,88.20,96.929,89.586,74.562
660,87.90,98.190,90.317,74.324
665,87.22,100.597,92.133,74.873
670,86.30,103.003,93.950,75.422
675,85.30,101.068,91.953,73.499
680,84.00,99.133,89.956,71.576
685,82.21,93.257,84.817,67.714
690,80.20,87.381,79.677,63.852
695,78.24,89.492,81.258,64.464
700,76.30,91.604,82.840,65.076
705,74.36,92.246,83.842,66.573
710,72.40,92.889,84.844,68.070
715,70.40,84.872,77.539,62.256
720,68.30,76.854,70.235,56.443
725,66.30,81.683,74.768,60.343
730,64.40,86.511,79.301,64.242
735,62.80,89.546,82.147,66.697
740,61.50,92.580,84.993,69.151
745,60.20,85.405,78.437,63.890
750,59.20,78.230,71.880,58.629
755,58.50,67.961,62.337,50.623
760,58.10,57.692,52.793,42.617
765,58.00,70.307,64.360,51.985
770,58.20,82.923,75.927,61.352
775,58.50,80.599,73.872,59.838
780,59.10,78.274,71.818,58.324
